Palavra,Etiqueta
"a’é',",NONE
"a’éramo',",NONE
aesáng,PRED
aí,NONE
áipa',PRED
aká,PRED
akoma’é,ARG
akoma’éramo,NONE
aráwawá,ARG
awáramo,NONE
ehá,PRED
"haséj',",NONE
"heé',",NONE
"hehá',",NONE
hehé,NONE
hewýre,NONE
i’í,PRED
iaró,NONE
"ipári',",PRED
isopé,NONE
"iwáng',",ARG
kosóa,ARG
mása,ARG
ména,ARG
"no',",NONE
oaróramo,NONE
oesá,PRED
oma’éw,NONE
oporongetáw,PRED
opotán,NONE
opotáreté,PRED
"osá',",PRED
osemoawá,PRED
osesángokáta,PRED
pané,NONE
pé,NONE
sé,NONE
sekwehé,NONE
sowé,NONE
"ta',",NONE
tapyhýnga,PRED
tené,NONE